name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Rafaela Silva,judo,BRA,female,24/04/1992,24.3,1.69,57
Meng Wei,shooting,CHN,female,14/06/1989,27.2,1.69,57
Shanshan Wang,football,CHN,female,27/01/1990,26.5,1.69,57
Aurelie Muller,aquatics,FRA,female,07/06/1990,26.2,1.69,57
Charline Picon,sailing,FRA,female,23/12/1984,31.6,1.69,57
Ayami Oishi,rowing,JPN,female,09/04/1991,25.3,1.69,57
Malgorzta Jasinska,cycling,POL,female,18/01/1984,32.6,1.69,57
Tuiana Dashidorzhieva,archery,RUS,female,14/04/1996,20.3,1.69,57
Lovisa Lindh,athletics,SWE,female,09/07/1991,25.1,1.69,57
Vladyslav Hryko,gymnastics,UKR,male,25/01/1997,19.5,1.69,57
Anthonique Strachan,athletics,BAH,female,22/08/1993,23,1.68,57
Karin Donckers,equestrian,BEL,female,28/05/1971,45.2,1.68,57
Martha McCabe,aquatics,CAN,female,04/08/1989,27,1.68,57
Sydney Pickrem,aquatics,CAN,female,21/05/1997,19.2,1.68,57
Florence Allan,sailing,CAY,female,26/05/1998,18.2,1.68,57
Zhifang Zhao,basketball,CHN,female,11/08/1994,22,1.68,57
Licet Hernandez,rowing,CUB,female,14/04/1993,23.3,1.68,57
Brian Pintado,athletics,ECU,male,29/07/1995,21,1.68,57
Kadidiatou Diani,football,FRA,female,01/04/1995,21.4,1.68,57
Stephanie Twell,athletics,GBR,female,17/08/1989,27,1.68,57
Laura Lindemann,triathlon,GER,female,26/06/1996,20.1,1.68,57
Laura Milani,rowing,ITA,female,30/09/1984,31.9,1.68,57
Kemoy Campbell,athletics,JAM,male,14/01/1991,25.6,1.68,57
Novlene Williams-Mills,athletics,JAM,female,26/04/1982,34.3,1.68,57
Hae Ran Kim,volleyball,KOR,female,16/03/1984,32.4,1.68,57
Chakir Ansari,wrestling,MAR,male,22/06/1991,25.1,1.68,57
Vera Adrian,cycling,NAM,female,28/10/1993,22.8,1.68,57
Rechael Tonjor,aquatics,NGR,female,14/10/1991,24.8,1.68,57
Carolena Carstens,taekwondo,PAN,female,18/01/1996,20.6,1.68,57
Malgorzata Holub,athletics,POL,female,30/10/1992,23.8,1.68,57
Andre Fernando S. Martins Cardoso,cycling,POR,male,03/09/1984,31.9,1.68,57
