name,sport,nationality,sex,date_of_birth,age,height,weight
Kenji Kobase,Aquatics,JPN,male,31/07/1987,29,1.8,80
Seunghwa Jung,Fencing,KOR,male,27/03/1981,35.4,1.8,80
Lkhamdegd Purevjargal,Judo,MGL,female,18/09/1986,29.9,1.8,80
Sergio Oliveira,Football,POR,male,02/06/1992,24.2,1.8,80
Kamal Aldin Mallash,Handball,QAT,male,01/01/1992,24.6,1.8,80
Amadou Ndiaye,Athletics,SEN,male,06/12/1992,23.7,1.8,80
Frida Tegstedt,Handball,SWE,female,17/07/1987,29.1,1.8,80
Yusuf Dikec,Shooting,TUR,male,01/01/1973,43.6,1.8,80
Daryna Verkhogliad,Rowing,UKR,female,22/02/1992,24.5,1.8,80
Mikola Milchev,Shooting,UKR,male,03/11/1967,48.8,1.8,80
Tamara Horacek,Handball,FRA,female,05/11/1995,20.8,1.79,80
